reference	length	mapped_reads
CP009257.1	4335793	2472
AE016877.1	5411809	1440
CP000139.1	5163189	4559
CP017623.1	3188341	2380
CP010086.2	6485394	751
NC_001263.1	2648638	466
NC_004668.1	3218031	1252
NC_000913.3	4641652	2558
NC_000915.1	1667867	5229
NC_008530.1	1894360	136
NC_003210.1	2944528	1023
NC_009515.1	1853160	1404
NC_003112.2	2272360	1551
NC_006085.1	2560265	3218
NC_002516.2	6264404	941
NC_007493.2	3188524	1792
NC_007795.1	2821361	1462
NC_004461.1	2499279	6893
NC_004116.1	2160267	1800
NC_004350.2	2032925	8322
NC_003098.1	2038615	352
